Comune;vertex.names.orig;vertex.names
Rive d'Arcano;RIVE D'ARCANO;RIVE.D.ARCANO
Rivignano Teor;RIVIGNANO TEOR;RIVIGNANO.TEOR
Romans d'Isonzo;ROMANS D'ISONZO;ROMANS.D.ISONZO
Ronchi dei Legionari;RONCHI DEI LEGIONARI;RONCHI.DEI.LEGIONARI
Ronchis;RONCHIS;RONCHIS
Roveredo in Piano;ROVEREDO IN PIANO;ROVEREDO.IN.PIANO
Ruda;RUDA;RUDA
Sacile;SACILE;SACILE
San Canzian d'Isonzo;SAN CANZIAN D'ISONZO;SAN.CANZIAN.D.ISONZO
San Daniele del Friuli;SAN DANIELE DEL FRIULI;SAN.DANIELE.DEL.FRIULI
San Dorligo della Valle;SAN DORLIGO DELLA VALLE;SAN.DORLIGO.DELLA.VALLE
San Giorgio della Richinvelda;SAN GIORGIO DELLA RICHINVELDA;SAN.GIORGIO.DELLA.RICHINVELDA
San Giorgio di Nogaro;SAN GIORGIO DI NOGARO;SAN.GIORGIO.DI.NOGARO
San Giovanni al Natisone;SAN GIOVANNI AL NATISONE;SAN.GIOVANNI.AL.NATISONE
San Leonardo;SAN LEONARDO;SAN.LEONARDO
San Martino al Tagliamento;SAN MARTINO AL TAGLIAMENTO;SAN.MARTINO.AL.TAGLIAMENTO
San Pier d'Isonzo;SAN PIER D'ISONZO;SAN.PIER.D.ISONZO
San Pietro al Natisone;SAN PIETRO AL NATISONE;SAN.PIETRO.AL.NATISONE
San Quirino;SAN QUIRINO;SAN.QUIRINO
San Vito al Tagliamento;SAN VITO AL TAGLIAMENTO;SAN.VITO.AL.TAGLIAMENTO
San Vito al Torre;SAN VITO AL TORRE;SAN.VITO.AL.TORRE
Santa Maria la Longa;SANTA MARIA LA LONGA;SANTA.MARIA.LA.LONGA
Sappada;SAPPADA;SAPPADA
Sauris;SAURIS;SAURIS
Savogna d'Isonzo;SAVOGNA D'ISONZO;SAVOGNA.D.ISONZO
Sedegliano;SEDEGLIANO;SEDEGLIANO
Sequals;SEQUALS;SEQUALS
Sgonico;SGONICO;SGONICO
Spilimbergo;SPILIMBERGO;SPILIMBERGO
Staranzano;STARANZANO;STARANZANO
Stregna;STREGNA;STREGNA
Talmassons;TALMASSONS;TALMASSONS
Tarcento;TARCENTO;TARCENTO
Tarvisio;TARVISIO;TARVISIO
Tavagnacco;TAVAGNACCO;TAVAGNACCO
Terzo d'Aquileia;TERZO D'AQUILEIA;TERZO.D.AQUILEIA
Tolmezzo;TOLMEZZO;TOLMEZZO
Torreano;TORREANO;TORREANO
Torviscosa;TORVISCOSA;TORVISCOSA
Tramonti di Sopra;TRAMONTI DI SOPRA;TRAMONTI.DI.SOPRA
Tramonti di Sotto;TRAMONTI DI SOTTO;TRAMONTI.DI.SOTTO
Trasaghis;TRASAGHIS;TRASAGHIS
Travesio;TRAVESIO;TRAVESIO
Treppo Ligosullo;TREPPO LIGOSULLO;TREPPO.LIGOSULLO
Tricesimo;TRICESIMO;TRICESIMO
Trieste;TRIESTE;TRIESTE
Trivignano Udinese;TRIVIGNANO UDINESE;TRIVIGNANO.UDINESE
Turriaco;TURRIACO;TURRIACO
Udine;UDINE;UDINE
Valvasone Arzene;VALVASONE ARZENE;VALVASONE.ARZENE
Varmo;VARMO;VARMO
Venzone;VENZONE;VENZONE
Verzegnis;VERZEGNIS;VERZEGNIS
Villa Santina;VILLA SANTINA;VILLA.SANTINA
Villesse;VILLESSE;VILLESSE
Visco;VISCO;VISCO
Vito d'Asio;VITO D'ASIO;VITO.D.ASIO
Vivaro;VIVARO;VIVARO
Zoppola;ZOPPOLA;ZOPPOLA
Zuglio;ZUGLIO;ZUGLIO
